INSERT INTO person (lastName, firstName, email, phoneNumber) VALUES
('Lee', 'Sarah', 'sarah.lee1@example.com', '555-0355'),
('Doe', 'Chris', 'chris.doe2@example.com', '555-0332'),
('Doe', 'Jane', 'jane.doe3@example.com', '555-0394'),
('Doe', 'Michael', 'michael.doe4@example.com', '555-0144'),
('Walker', 'Sarah', 'sarah.walker5@example.com', '555-0391'),
('Walker', 'Sarah', 'sarah.walker6@example.com', '555-0347'),
('Johnson', 'Michael', 'michael.johnson7@example.com', '555-0143'),
('Lee', 'Chris', 'chris.lee8@example.com', '555-0741'),
('Johnson', 'Emma', 'emma.johnson9@example.com', '555-0401'),
('Lee', 'Emily', 'emily.lee10@example.com', '555-0658'),
('Taylor', 'John', 'john.taylor11@example.com', '555-0446'),
('Johnson', 'Mike', 'mike.johnson12@example.com', '555-0386'),
('Wilson', 'Mike', 'mike.wilson13@example.com', '555-0963'),
('White', 'John', 'john.white14@example.com', '555-0168'),
('Wilson', 'Emily', 'emily.wilson15@example.com', '555-0962'),
('White', 'Sophia', 'sophia.white16@example.com', '555-0338'),
('Lee', 'David', 'david.lee17@example.com', '555-0835'),
('Brown', 'Sophia', 'sophia.brown18@example.com', '555-0943'),
('Doe', 'Emily', 'emily.doe19@example.com', '555-0335'),
('Smith', 'Sophia', 'sophia.smith20@example.com', '555-0802'),
('Johnson', 'Chris', 'chris.johnson21@example.com', '555-0713'),
('Johnson', 'Michael', 'michael.johnson22@example.com', '555-0207'),
('Wilson', 'Michael', 'michael.wilson23@example.com', '555-0236'),
('Taylor', 'John', 'john.taylor24@example.com', '555-0868'),
('Lee', 'Jane', 'jane.lee25@example.com', '555-0908'),
('Walker', 'Emily', 'emily.walker26@example.com', '555-0131'),
('Doe', 'Sarah', 'sarah.doe27@example.com', '555-0808'),
('Walker', 'Jane', 'jane.walker28@example.com', '555-0597'),
('Doe', 'John', 'john.doe29@example.com', '555-0605'),
('Wilson', 'Mike', 'mike.wilson30@example.com', '555-0227'),
('Brown', 'Mike', 'mike.brown31@example.com', '555-0191'),
('Walker', 'Chris', 'chris.walker32@example.com', '555-0767'),
('Smith', 'John', 'john.smith33@example.com', '555-0623'),
('White', 'Sarah', 'sarah.white34@example.com', '555-0326'),
('Smith', 'Chris', 'chris.smith35@example.com', '555-0385'),
('Wilson', 'John', 'john.wilson36@example.com', '555-0150'),
('Walker', 'Jane', 'jane.walker37@example.com', '555-0807'),
('Walker', 'Jane', 'jane.walker38@example.com', '555-0303'),
('White', 'David', 'david.white39@example.com', '555-0541'),
('Brown', 'Sophia', 'sophia.brown40@example.com', '555-0341'),
('Walker', 'Sarah', 'sarah.walker41@example.com', '555-0339'),
('Walker', 'John', 'john.walker42@example.com', '555-0352'),
('Johnson', 'Sarah', 'sarah.johnson43@example.com', '555-0370'),
('Martin', 'Mike', 'mike.martin44@example.com', '555-0962'),
('Johnson', 'Sophia', 'sophia.johnson45@example.com', '555-0509'),
('Martin', 'Emily', 'emily.martin46@example.com', '555-0468'),
('Lee', 'Sophia', 'sophia.lee47@example.com', '555-0509'),
('Lee', 'Michael', 'michael.lee48@example.com', '555-0385'),
('Lee', 'Sarah', 'sarah.lee49@example.com', '555-0632'),
('Johnson', 'Emma', 'emma.johnson50@example.com', '555-0625'),
('Smith', 'Michael', 'michael.smith51@example.com', '555-0163'),
('Doe', 'Mike', 'mike.doe52@example.com', '555-0273'),
('Walker', 'Michael', 'michael.walker53@example.com', '555-0497'),
('Walker', 'Jane', 'jane.walker54@example.com', '555-0837'),
('Brown', 'David', 'david.brown55@example.com', '555-0120'),
('Doe', 'Sarah', 'sarah.doe56@example.com', '555-0276'),
('Taylor', 'David', 'david.taylor57@example.com', '555-0212'),
('Brown', 'Emily', 'emily.brown58@example.com', '555-0555'),
('Brown', 'Mike', 'mike.brown59@example.com', '555-0844'),
('Taylor', 'Jane', 'jane.taylor60@example.com', '555-0840'),
('White', 'David', 'david.white61@example.com', '555-0536'),
('Wilson', 'Emma', 'emma.wilson62@example.com', '555-0300'),
('Martin', 'Mike', 'mike.martin63@example.com', '555-0682'),
('Brown', 'Jane', 'jane.brown64@example.com', '555-0398'),
('Lee', 'Sophia', 'sophia.lee65@example.com', '555-0807'),
('Taylor', 'Sophia', 'sophia.taylor66@example.com', '555-0341'),
('Taylor', 'Sophia', 'sophia.taylor67@example.com', '555-0338'),
('Johnson', 'Jane', 'jane.johnson68@example.com', '555-0983'),
('Johnson', 'John', 'john.johnson69@example.com', '555-0597'),
('Brown', 'Mike', 'mike.brown70@example.com', '555-0221'),
('Martin', 'Chris', 'chris.martin71@example.com', '555-0631'),
('Taylor', 'Mike', 'mike.taylor72@example.com', '555-0322'),
('Johnson', 'John', 'john.johnson73@example.com', '555-0306'),
('White', 'Chris', 'chris.white74@example.com', '555-0894'),
('Johnson', 'Chris', 'chris.johnson75@example.com', '555-0915'),
('Martin', 'Emily', 'emily.martin76@example.com', '555-0548'),
('Johnson', 'Sophia', 'sophia.johnson77@example.com', '555-0543'),
('Doe', 'Emily', 'emily.doe78@example.com', '555-0985'),
('Smith', 'Sophia', 'sophia.smith79@example.com', '555-0164'),
('Taylor', 'Emily', 'emily.taylor80@example.com', '555-0158'),
('Doe', 'Sophia', 'sophia.doe81@example.com', '555-0134'),
('White', 'Mike', 'mike.white82@example.com', '555-0250'),
('Martin', 'John', 'john.martin83@example.com', '555-0244'),
('Doe', 'David', 'david.doe84@example.com', '555-0178'),
('Taylor', 'Chris', 'chris.taylor85@example.com', '555-0468'),
('Smith', 'Sarah', 'sarah.smith86@example.com', '555-0760'),
('Doe', 'Mike', 'mike.doe87@example.com', '555-0135'),
('Smith', 'Jane', 'jane.smith88@example.com', '555-0517'),
('Taylor', 'Emma', 'emma.taylor89@example.com', '555-0322'),
('Lee', 'Sophia', 'sophia.lee90@example.com', '555-0257'),
('Smith', 'Sarah', 'sarah.smith91@example.com', '555-0346'),
('Smith', 'Chris', 'chris.smith92@example.com', '555-0483'),
('Lee', 'Chris', 'chris.lee93@example.com', '555-0217'),
('Johnson', 'Mike', 'mike.johnson94@example.com', '555-0963'),
('Smith', 'John', 'john.smith95@example.com', '555-0834'),
('Doe', 'Chris', 'chris.doe96@example.com', '555-0857'),
('Taylor', 'Emma', 'emma.taylor97@example.com', '555-0239'),
('Martin', 'Emily', 'emily.martin98@example.com', '555-0580'),
('Wilson', 'Chris', 'chris.wilson99@example.com', '555-0883'),
('Smith', 'Sarah', 'sarah.smith100@example.com', '555-0219'),
('Brown', 'Mike', 'mike.brown101@example.com', '555-0395'),
('Johnson', 'John', 'john.johnson102@example.com', '555-0389'),
('Lee', 'John', 'john.lee103@example.com', '555-0876'),
('Lee', 'Michael', 'michael.lee104@example.com', '555-0647'),
('Smith', 'Chris', 'chris.smith105@example.com', '555-0682'),
('Brown', 'Mike', 'mike.brown106@example.com', '555-0259'),
('White', 'Chris', 'chris.white107@example.com', '555-0751'),
('Martin', 'Michael', 'michael.martin108@example.com', '555-0814'),
('Brown', 'Emma', 'emma.brown109@example.com', '555-0164'),
('White', 'Emma', 'emma.white110@example.com', '555-0266'),
('Doe', 'John', 'john.doe111@example.com', '555-0293'),
('Martin', 'David', 'david.martin112@example.com', '555-0296'),
('Smith', 'Emily', 'emily.smith113@example.com', '555-0328'),
('Martin', 'Sarah', 'sarah.martin114@example.com', '555-0449'),
('Johnson', 'Mike', 'mike.johnson115@example.com', '555-0593'),
('Smith', 'David', 'david.smith116@example.com', '555-0497'),
('Smith', 'Sarah', 'sarah.smith117@example.com', '555-0872'),
('White', 'David', 'david.white118@example.com', '555-0878'),
('Martin', 'Emily', 'emily.martin119@example.com', '555-0535'),
('Brown', 'David', 'david.brown120@example.com', '555-0466'),
('Wilson', 'David', 'david.wilson121@example.com', '555-0656'),
